feature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ  12.11. ПРОСРОЧЕННАЯ ЗАДОЛЖЕННОСТЬ ПО ЗАРАБОТНОЙ ПЛАТЕ В РАСЧЕТЕ НА ОДНОГО РАБОТНИКА, ПЕРЕД КОТОРЫМ ИМЕЕТСЯ ПРОСРОЧЕННАЯ ЗАДОЛЖЕННОСТЬ  (на конец года; рублей)",3007,3453,3891,3713,3951,4209,4101,15556,9248,15774,15770,15654,17822,25267,50023,14613,14150,60770.1,66324.2,
12.12. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.12.1. Численность фактически действующих индивидуальных предпринимателей,,,,,,,,,,,,65.8,69.138,68.408,59.577,,67.108,67.899,64.512,
12.12. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.12.2. Численность занятых в бизнесе индивидуального предпринимателя,,,,,,,,,,,,134.539,121.74,121.553,116.46,,114.937,145.113,151.803,
"12.12. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ 12.12.3. Объем выручки от продажи товаров, продукции, работ, услуг",,,,,,,,,,,,272.4178,297.11217469999997,345.60681270000003,336.59567499999997,,499.2856199,516.1824244,491.9958557,
"12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.13.1. Число индивидуальных предпринимателей в 2010, 2015 гг.",,,,,,,,,,,75.8,,,,,73.7,,,,
"12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.13.2. Число индивидуальных предпринимателей на 10 000 человек населения в 2010, 2015 гг.",,,,,,,,,,,200.3,,,,,190.6,,,,
"12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.13.3. Средняя численность работников в 2010, 2015 гг.",,,,,,,,,,,146.0,,,,,119.6,,,,
"12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ 12.13.4. Выручка от реализации товаров (работ, услуг) в 2010, 2015 гг.",,,,,,,,,,,140.4,,,,,239.0,,,,
17.1. ОТПРАВЛЕНИЕ ГРУЗОВ ЖЕЛЕЗНОДОРОЖНЫМ ТРАНСПОРТОМ ОБЩЕГО ПОЛЬЗОВАНИЯ (миллионов тонн),10,10.3,10.5,13.2,12,10.9,10.8,11.1,10.3,9.4,10,11.7,16.3,15.7,15.7,15.5,15.2,15.8,16.4,
17.2. ОТПРАВЛЕНИЕ  ПАССАЖИРОВ ЖЕЛЕЗНОДОРОЖНЫМ ТРАНСПОРТОМ ОБЩЕГО ПОЛЬЗОВАНИЯ (тысяч человек),18808,16197,16628,15703,14804,18042,18618,16040,15588,11863,10002,10330,9663,9421,8523,8088,7927,7719,8143,
17.3. ПЛОТНОСТЬ ЖЕЛЕЗНОДОРОЖНЫХ ПУТЕЙ ОБЩЕГО ПОЛЬЗОВАНИЯ  (на конец года; км путей на 10000 км2 территории),129,127,127,128,127,128,128,128,128,127,126,126,129,129,129,129,129,129,129,
17.4. ПЕРЕВОЗКИ ГРУЗОВ АВТОМОБИЛЬНЫМ  ТРАНСПОРТОМ ОРГАНИЗАЦИЙ ВСЕХ ВИДОВ ДЕЯТЕЛЬНОСТИ (миллионов тонн),99.2,95.1,97.8,99.4933,98.67360000000001,100.7,116.7,114.4,96.45729999999999,82.50659999999999,78.3,89.0718,88.1,86.8,75.3,67.56530000000001,68.12180000000001,67.4544678,68.1937501,
17.5.  ГРУЗООБОРОТ АВТОМОБИЛЬНОГО ТРАНСПОРТА ОРГАНИЗАЦИЙ ВСЕХ ВИДОВ ДЕЯТЕЛЬНОСТИ (миллионов тонно-километров),4412,4100,3811,4576.856400000001,4116.3962,4261.0,5455.0,4694.0,5215.053900000001,4391.322700000001,5053.0,5157.7892999999995,5301.0,5361.0,5098.0,5898.7767,6394.073899999999,6206.359045100001,6347.509077600001,
17.6. ПЕРЕВОЗКИ ПАССАЖИРОВ АВТОБУСАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ (миллионов человек),707.5,734.2,691.7,664.7,894.7,397.7,380.1,385.8,404.7,370.9,411.5,392.4,334.7,306.8,330.4,311.3,300.4,299.7,300.4,
17.7. ПАССАЖИРООБОРОТ АВТОБУСОВ ОБЩЕГО ПОЛЬЗОВАНИЯ  (миллионов пассажиро-километров),6137,6318,6112,5873.0,7135.0,3857.0,3863.0,4189.0,4405.0,3875.0,4131.0,4030.0,3683.0,2923.0,3023.0,3059.0,2878.0,2710.0,2572.0,
17.8. УДЕЛЬНЫЙ ВЕС АВТОМОБИЛЬНЫХ ДОРОГ С ТВЕРДЫМ ПОКРЫТИЕМ В ОБЩЕЙ ПРОТЯЖЕННОСТИ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ;2) ( на конец года; в процентах),98.9,98.9,99,91.6,91.9,92.1,92.4,81.8,82.4,63.7,72.4,73.5565823764632,74.0,72.2,73.7,74.26013268373588,74.77337204491181,75.45017424451461,76.2815098426027,
17.9. УДЕЛЬНЫЙ ВЕС АВТОМОБИЛЬНЫХ ДОРОГ С УСОВЕРШЕНСТВОВАННЫМ ПОКРЫТИЕМ В ПРОТЯЖЕННОСТИ АВТОМОБИЛЬНЫХ ДОРОГ С ТВЕРДЫМ ПОКРЫТИЕМ ОБЩЕГО ПОЛЬЗОВАНИЯ;2) (в процентах),80.8,81.9,82.7,82.6,82.5,82.9,83.7,80.4,73.2,75.2,76.3,79.54938146793376,76.3,78.1,79.4,79.8,79.3,78.67869901630462,77.92029971081377,
17.10. ПЛОТНОСТЬ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ С ТВЕРДЫМ ПОКРЫТИЕМ;2) (на конец года; км путей на 1000 км2 территории),184,186,187,196,197,199,200,260,280,285,324,321,413.0,406.0,416.0,423.0,430.0,435.56784660766965,442.6213569321534,
17.11. ЧИСЛО АВТОБУСОВ ОБЩЕГО ПОЛЬЗОВАНИЯ на 100 000 человек населения (на конец года; штук),112.83933664307595,121.35380691780459,110.09344310029914,107.68319461027455,101.95938768106615,95.0,80.25285495545435,66.13078870058177,61.77246426816723,56.70561015606462,105.0,103.0,102.0,68.0,78.0,72.0,73.0,67.0,61.867918662667996,
17.12. ЧИСЛО ДОРОЖНО-ТРАНСПОРТНЫХ ПРОИСШЕСТВИЙ на 100 000 человек населения,116.5,129.3,147.7,164.5,172.4,176.3,188.3,159.2,158.0,147.4,141.1,146.7,143.8,141.2,140.4,128.7,130.8,120.5809,118.36397,
"17.13. ЧИСЛО ЛИЦ, ПОГИБШИХ В ДОРОЖНО-ТРАНСПОРТНЫХ ПРОИСШЕСТВИЯХ на 100 000 человек населения  (человек)",17.8,20.1,22.8,23.4,23.4,21.6,20.0,20.4,18.9,18.4,17.6,18.3,18.2,18.5,16,12.7,11.6,10.95255,9.72679,
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА 14.1. ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА,30648.936,39384.836,39010.382,44882.132,53660.449,61603,71638.6,90724,113975.2,112199.8,98043.7,147628,147839.9,157706.9,184289,211810.1,229812.8,235297.3,226034,
14.2. ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА 14.2.1. Всего,97.7,125.9,96,103.6,102.6,104.5,104.3,104,108.9,100.2,66.9,151.6,92,98.3,103.2,104.1,104.9,104.9,97,
14.2. ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА 14.2.2. Продукция растениеводства,99,146.5,91.9,103.9,104.2,104.7,103.7,102.8,110.6,95,35.1,265.5,83,98.7,105.7,107.2,109.5,109,92.8,
14.2. ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА 14.2.3. Продукция животноводства,96.2,103.8,101.1,103.2,100.8,104.4,105,105.3,106.8,106.4,99.1,102.3,100.9,97.9,101,101.3,100.5,100.7,101.2,
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ;2) 14.3.1. Сальдированный финансовый результат (прибыль минус убыток) организаций . Растениеводство",,,,,,-51,572,1074,1978,-118,-1234,902,689,646,1292,2673,1974,874,748,
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ;2) 14.3.2. Сальдированный финансовый результат (прибыль минус убыток) организаций. Животноводство",,,,,,-50,-122,511,488,2015,936.0,1884.0,2859.0,-849.0,5927,5880,120,438,1115,
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ;2) 14.3.3. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Растениеводство",,,,,,-0.3,1.4,6.4,3.1,-1.3,-2.9,-5.2,3.9,8.4,4.6,7.3,8.7,9.8,2.4,
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ;2) 14.3.4. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Животноводство",,,,,,0.9,0.9,3.2,1.6,2.2,-2.3,-0.8,0.9,-2.9,14.1,11.9,5.4,5.9,1.9,
РАСТЕНИЕВОДСТВО 14.4. ПОСЕВНЫЕ ПЛОЩАДИ СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР,2986.06,2977.94,2945.01,2857.66,2895.7,2897.1,2929.47,2928.22,2984.48,3036.12,2937.8,3093.3,2991.8,2972.3,2924.6,3024.3,3060.8,3058.7,2966.548,
РАСТЕНИЕВОДСТВО 14.5. ПОСЕВНЫЕ ПЛОЩАДИ ЗЕРНОВЫХ И ЗЕРНОБОБОВЫХ КУЛЬТУР,1543.86,1637.33,1600.1,1465.07,1531.54,1559.6,1550.71,1640.06,1702.91,1656.4,1512.4,1652.9,1554.9,1613.4,1572.3,1595.1,1591.7,1534,1483.999,
РАСТЕНИЕВОДСТВО 14.6. ПОСЕВНЫЕ ПЛОЩАДИ САХАРНОЙ СВЕКЛЫ,41.72,40.98,38.27,49.89,73.83,78.3,74.06,70.58,61.05,73.81,81.8,80,61.3,55.3,48.4,57.7,63.2,74,64.319,
РАСТЕНИЕВОДСТВО 14.7. ПОСЕВНЫЕ ПЛОЩАДИ ПОДСОЛНЕЧНИКА,8.1,4.28,1.55,2.69,2.54,3.8,2.07,0.98,3.22,2.49,17,32.3,84.5,81.4,81,55.1,110.2,131.4,124.124,
РАСТЕНИЕВОДСТВО 14.8. ПОСЕВНЫЕ ПЛОЩАДИ ЛЬНА-ДОЛГУНЦА,1.14,1.41,0.65,1.11,1.12,0.9,1.06,0.86,0.88,0.86,0.2,0.9,0.9,0.5,1,1.1,1.1,1.1,1.1,
РАСТЕНИЕВОДСТВО 14.9. ПОСЕВНЫЕ ПЛОЩАДИ КАРТОФЕЛЯ,96.61,97.09,95,93.61,92.09,87.4,80.37,74.69,79.61,92.34,90.2,73.1,71.2,63.7,60.7,61.9,58,55.6,54.16,
РАСТЕНИЕВОДСТВО 14.10. ПОСЕВНЫЕ ПЛОЩАДИ ОВОЩЕЙ,11.58,13.48,12.47,12.36,11.62,10.9,11.13,10.42,9.95,10.23,9.8,10.5,10,10,10.4,10,9.4,10,10.011,
РАСТЕНИЕВОДСТВО 14.11. ВАЛОВОЙ СБОР ЗЕРНА (в весе после доработки),3288.263,5295.139,5117.923000000001,4618.9,3847.012,4137,4164.5199999999995,4745.227,5742.505999999999,4441.780000000001,661.1,4867.7,2990.5,2611.5,3366,3367.7,4115.1,4879.8,3657.5906000000004,
РАСТЕНИЕВОДСТВО 14.12. УРОЖАЙНОСТЬ ЗЕРНОВЫХ И ЗЕРНОБОБОВЫХ КУЛЬТУР (в весе после доработки),28.6,36.3,32,31.7,25.3,26.6,26.9,30.1,33.8,31.7,10.4,29.6,22.5,21.4,21.6,21.2,25.9,32,24.8,
РАСТЕНИЕВОДСТВО 14.13. ВАЛОВОЙ СБОР САХАРНОЙ СВЕКЛЫ,787.5060000000001,944.1940000000001,623.816,1069.859,1805.762,2038.3,2124.255,2002.922,1826.8220000000001,1501.875,681.5,1936,2010.8,2109.8,1408.4,2011.8,2327.3,3101.2,2109.0801,
РАСТЕНИЕВОДСТВО 14.14. УРОЖАЙНОСТЬ САХАРНОЙ СВЕКЛЫ,213.6,236.5,164.8,221.6,268.8,290,302.1,290.5,300.4,274.1,167,244,371,399,292,356,370,420,330,
РАСТЕНИЕВОДСТВО 14.15. ВАЛОВОЙ СБОР СЕМЯН ПОДСОЛНЕЧНИКА (в весе после доработки);2),5.179,2.3289999999999997,0.619,2.165,2.641,3.2,1.545,1.457,2.979,2.383,7,28.8,51,78.6,50.1,58.3,121,159.9,191.3594,
РАСТЕНИЕВОДСТВО 14.16. УРОЖАЙНОСТЬ ПОДСОЛНЕЧНИКА,7,5.8,4.3,8.1,10.2,8.4,7.4,16.2,9.3,9.6,6.5,9.5,7.3,10.8,8.7,12.9,11.1,13.2,15.6,
РАСТЕНИЕВОДСТВО 14.17. ВАЛОВОЙ СБОР ЛЬНОВОЛОКНА,0.607,0.259,0.078,0.339,0.8029999999999999,0.6,0.708,0.8160000000000001,0.78,0.7769999999999999,0,0.9,1.1,0.7,1.4,1.4,1.4,1.5,1.6,
РАСТЕНИЕВОДСТВО 14.18. УРОЖАЙНОСТЬ ЛЬНА-ДОЛГУНЦА,5.3,2.9,2,3.2,7.5,7.5,6.7,9.5,8.9,9,0.8,10.3,12.3,13.2,13.5,13.3,13.3,13.7,14.3,
РАСТЕНИЕВОДСТВО 14.19. ВАЛОВОЙ СБОР КАРТОФЕЛЯ,840.024,1231.608,1076.516,1159.032,1385.3120000000001,1451,1446.91,1473.428,1559.468,1802.212,478.6,1256.7,1210.6,1130.4,1099.1,1307.6,1143.7,1164.3,1189.5804,
РАСТЕНИЕВОДСТВО 14.20. УРОЖАЙНОСТЬ КАРТОФЕЛЯ,91.383,129.007,113.321,123.946,150.435,166,179.9,198.2,195.9,196.5,65,172,174,180,181,211,197,210,219.6,
РАСТЕНИЕВОДСТВО 14.21. ВАЛОВОЙ СБОР ОВОЩЕЙ,218.542,312.529,277.861,337.977,285.243,280.4,274.864,249.77800000000002,267.022,297.12,226.7,268.7,287.3,287.9,311.7,328.5,330.9,341.7,327.7333,
РАСТЕНИЕВОДСТВО 14.22. УРОЖАЙНОСТЬ ОВОЩЕЙ,168.68,211.53,200.78,249.436,218.78,231,218.92,210.2,242.2,262.1,213,236,258,256,265,288,304,287,275.1,
РАСТЕНИЕВОДСТВО 14.23. ВАЛОВОЙ СБОР ПЛОДОВ И ЯГОД,32.989999999999995,32.433,26.470999999999997,14.98,43.827,32.7,35.689,44.513999999999996,52.238,56.436,26.435700000000004,59.7949,57.561800000000005,75.7919,75.1143,78.4076,94.6729,79.0254,110.1326,
14.24. ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ  14.24.1. Минеральные удобрения (в пересчете на 100% питательных веществ),76.2,74.5,69.3,64,72.3,75.3,69.1,79.5,84.2,76,76.4,59.6,50.6,52.8,46.9,41.9,43.9,64.6,55.2,
14.24. ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ  14.24.2. Органические удобрения,2.2,2.2,2.2,1.8,1.9,1.6,1.5,1.5,1.5,2,1.7,1.6,1.5,1.6,1.6,1.7,1.8,1.8,1.7,
ЖИВОТНОВОДСТВО 14.25. ПОГОЛОВЬЕ КРУПНОГО РОГАТОГО СКОТА,1194.6,1214.5,1196.3,1174.7,1150.1,1116.6,1123.7,1116.8,1103.9,1124.4,1124.6,1092.3,1076,1029.9,1029.5,1033.8,1029,1025.9,1011.889,
ЖИВОТНОВОДСТВО 14.26. ПОГОЛОВЬЕ СВИНЕЙ,749.6,750.1,755.6,757.2,720.7,695.1,748.9,750.2,682.4,708.3,709.1,623.6,658.9,547.9,479.1,482.7,465,460,467.183,
ЖИВОТНОВОДСТВО 14.27. ПОГОЛОВЬЕ ОВЕЦ И КОЗ,483.9,455.8,444,437,420,403.6,403.7,397.1,392.7,392.8,402,392.7,372.1,355.2,360.4,356.3,356.5,356.2,350.878,
ЖИВОТНОВОДСТВО 14.28.  ПРОИЗВОДСТВО СКОТА И ПТИЦЫ НА УБОЙ (в убойном весе),170.8,171.5,180.2,184.4,195.7,199.1,208.6,230.784,259.087,276.363,286.214,280.843,302.499,318.081,308.112,310.271,324.296,327.138,342.55,
ЖИВОТНОВОДСТВО 14.29. ПРОИЗВОДСТВО МОЛОКА,1337.9,1394.8,1479.5,1522.1,1527.2,1535.4,1617.7,1737.7,1821.9,1912,1932.904,1932.94,1882.997,1712.217,1728.294,1753.689,1774.547,1823.787,1847.996,
ЖИВОТНОВОДСТВО 14.30. НАДОЙ МОЛОКА НА ОДНУ КОРОВУ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ,2546,2756,3098,3306,3337,3437,3657,4212,4550,4697,4755,4716,4729,4435,4809,4968,5120,5450,5605,
ЖИВОТНОВОДСТВО 14.31. ПРОИЗВОДСТВО ЯИЦ,1014,958,909.7,969.2,981.7,1060,1087.5,1073.8,1019.5,1025.1,1138.306,1145.374,1121.261,1073.59,1104.986,1176.968,1143.578,1187.469,1387.445,
ЖИВОТНОВОДСТВО 14.32. СРЕДНЯЯ ГОДОВАЯ ЯЙЦЕНОСКОСТЬ КУР- НЕСУШЕК В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ,244,247,264,271,283,300,298,299,299,309,310,284,275,295,309,305,305,298,318,
ЖИВОТНОВОДСТВО 14.33. ПРОИЗВОДСТВО ШЕРСТИ,1346,1251,1186,1149,1105,1052,1021,1012.12,1043,1035,1193,1217,1157,1071,950,898,866,867,768,
ЖИВОТНОВОДСТВО 14.34. СРЕДНИЙ ГОДОВОЙ НАСТРИГ ШЕРСТИ С ОДНОЙ ОВЦЫ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ,2.3,2.1,2.3,2.1,2.3,1.7,1.9,1.7,2.7,2.7,2.4,2.1,2.3,2.2,2,2.6,2.1,2.1,1.8,
ЖИВОТНОВОДСТВО 14.35. ПРОИЗВОДСТВО МЕДА,1424,1295,1078,1516,2220,2051,2757,3062,3423,3875,1899,4389,4201,5290,5790,5589,4964,3808,4053,
ЖИВОТНОВОДСТВО 14.36. РАСХОД КОРМОВ В РАСЧЕТЕ НА ОДНУ УСЛОВНУЮ ГОЛОВУ КРУПНОГО СКОТА В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ,33.7,35.8,36.49,33.87,36.81,36.3,35.163,34.772,36.18,35.47,32.1,34.8,40.7,37.5,36.4,37.2,37.4,36.4,36.6,
"14.37. ЛЕСНЫЕ РЕСУРСЫ 14.37.1. Площадь земель лесного фонда и земель иных категорий, на которых расположены леса",,,1270,,,,,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1272.0,
"14.37. ЛЕСНЫЕ РЕСУРСЫ 14.37.2. Площадь, покрытая лесом",,,1165,,,,,1181,1180,1182,1186,1187,1187,1188,1189,1189,1189,1189,1189.0,
14.37. ЛЕСНЫЕ РЕСУРСЫ 14.37.3. Лесистость территорий,,,17.2,,,,,17.4,17.4,17.4,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,
14.37. ЛЕСНЫЕ РЕСУРСЫ 14.37.4. Общий запас древесины,,,169,,,,,198,198,197.2,197.1,196.7,198.1,198,197.8,207.2,210.3,212.3,217.1,
ЛЕСНОЕ ХОЗЯЙСТВО 14.38. ЛЕСОВОССТАНОВЛЕНИЕ (тысяч гектаров),6.1,4.4,4.2,4.3,4.2,2.8,3,3.6,4,2.3,1.9,2.3,2.3,2.4,2.6,2.1,1.9,2.8,2.4,
ЛЕСНОЕ ХОЗЯЙСТВО 14.39. ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ 14.39.1. Число лесных пожаров,14,39,69,41,34,16,106,24,55,55,99,-,-,-,-,-,-,-,-,
"14.39. ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ 14.39.2. Площадь лесных земель, пройденная пожарами",3,8,27,17,35,10,115,8,62,86,168,-,-,-,-,-,-,-,-,
